,KWH
11829,11273
11830,13782
11831,2946
11832,15215
11833,8013
11834,8995
11835,9823
11836,9715
11837,13617
11838,20261
11839,9456
11840,19341
11841,5004
11842,24733
11843,10599
11844,3301
11845,22654
11846,8935
11847,11269
11848,1955
11849,11718
11850,15492
11851,17091
11852,8668
11853,10519
11854,17418
11855,3399
11856,9232
11857,18862
11858,9459
11859,12765
11860,6025
11861,2435
11862,6056
11863,4912
11864,16793
11865,4874
11866,6888
11867,11556
11868,19398
11869,5880
11870,6114
11871,6203
11872,12425
11873,16922
11874,14358
11875,1049
11876,16262
11877,20064
11878,3063
11879,10209
11880,22085
11881,19561
11882,10281
11883,6196
11884,38173
11885,28803
11886,20845
11887,10857
11888,10887
11889,11657
11890,23655
11891,11216
11892,11478
11893,11278
11894,2368
11895,7711
11896,11768
11897,14111
11898,13235
11899,8954
11900,9444
11901,15404
11902,5820
11903,12032
11904,14278
11905,12263
11906,33915
11907,8552
11908,26482
11909,14790
11910,9514
11911,5082
11912,21430
11913,21304
11914,12790
11915,15068
11916,10300
11917,34557
11918,9238
11919,12507
11920,13038
11921,9418
11922,9624
11923,9287
11924,3736
11925,12485
11926,16250
11927,8588
11928,4001
11929,10550
11930,6320
11931,3873
11932,8286
11933,24316
11934,9222
11935,585
11936,5098
11937,4964
11938,12088
11939,4746
11940,8896
11941,8498
11942,4238
11943,11298
11944,21503
11945,15782
11946,17
11947,9806
11948,18467
11949,30939
11950,13059
11951,20563
11952,5704
11953,7266
11954,16356
11955,1247
11956,20249
11957,27047
11958,5944
11959,11802
11960,8398
11961,5291
11962,13358
11963,6139
11964,7490
11965,16670
11966,32490
11967,13875
11968,19960
11969,5439
11970,9326
11971,3780
11972,11426
11973,11483
11974,5845
11975,8303
11976,3088
11977,22790
11978,9814
11979,14368
11980,6353
11981,7050
11982,7318
11983,12880
11984,12105
11985,1786
11986,7832
11987,10557
11988,9511
11989,17383
11990,2661
11991,4596
11992,9846
11993,8290
11994,7630
11995,7184
11996,11180
11997,14268
11998,8648
11999,7817
12000,5171
12001,6994
12002,11543
12003,8104
12004,1198
12005,4969
12006,5362
12007,7094
12008,25851
12009,4364
12010,12637
12011,26587
12012,17715
12013,7286
12014,21832
12015,4420
12016,2863
12017,6096
12018,6407
12019,17851
12020,14776
12021,23191
12022,5474
12023,6464
12024,12474
12025,7628
12026,4456
12027,10543
12028,5469
12029,11899
12030,9946
12031,12862
12032,16048
12033,18271
12034,9781
12035,18641
12036,8254
12037,3940
12038,12298
12039,5131
12040,8389
12041,19164
12042,4962
12043,10023
12044,22476
12045,9242
12046,12410
12047,9644
12048,3279
12049,17158
12050,14504
12051,10240
12052,6372
12053,9532
12054,8351
12055,11265
12056,8871
12057,13159
12058,3567
12059,19495
12060,18345
12061,35670
12062,5739
12063,15049
12064,5439
12065,4309
12066,5358
12067,3380
12068,8659
12069,4853
12070,9150
12071,17450
12072,25011
12073,13759
12074,9733
12075,27524
12076,8335
12077,16378
12078,7647
12079,1813
12080,9834
12081,4800
12082,1764
