,KWH
1709,5497
1710,12847
1711,15318
1712,21549
1713,16829
1714,12592
1715,23919
1716,10799
1717,2844
1718,6623
1719,8625
1720,7775
1721,2773
1722,5408
1723,23733
1724,36439
1725,16486
1726,4300
1727,10360
1728,6127
1729,9414
1730,16457
1731,5600
1732,34555
1733,21846
1734,11466
1735,20911
1736,4356
1737,4190
1738,6135
1739,3486
1740,4249
1741,11293
1742,10407
1743,10115
1744,5191
1745,3835
1746,14802
1747,14249
1748,3101
1749,6928
1750,3679
1751,6808
1752,10676
1753,10909
1754,20448
1755,13377
1756,8434
1757,2176
1758,11308
1759,6176
1760,16534
1761,10274
1762,12749
1763,9514
1764,8591
1765,14702
1766,15715
1767,12878
1768,3492
1769,954
1770,12105
1771,2833
1772,3400
1773,7936
1774,17215
1775,10742
1776,15877
1777,32690
1778,10038
1779,12157
1780,9841
1781,16795
1782,5419
1783,6630
1784,3262
1785,23159
1786,14658
1787,15125
1788,12207
1789,3298
1790,14954
1791,21063
1792,12408
1793,20410
1794,10654
1795,8301
1796,3544
1797,22362
1798,5535
1799,13747
1800,16617
1801,19726
1802,16184
1803,18504
1804,9824
1805,18120
1806,19559
1807,29086
1808,24586
1809,10897
1810,13744
1811,15606
1812,12490
1813,12995
1814,9296
1815,24698
1816,31596
1817,6907
1818,23817
1819,3118
1820,10235
1821,6669
1822,8341
1823,20692
1824,4962
1825,6729
1826,8848
1827,16009
1828,7413
1829,13568
1830,25838
1831,5129
1832,7119
1833,14848
1834,11595
1835,18691
1836,27099
1837,9644
1838,2132
1839,23327
1840,23701
1841,19360
1842,4456
1843,9193
1844,7399
1845,4764
1846,9367
1847,10087
1848,9943
1849,10448
1850,4765
1851,4965
1852,10821
1853,9574
1854,4728
1855,11827
1856,2974
1857,19373
1858,20136
1859,5646
1860,18398
1861,8757
1862,21374
1863,12936
1864,2458
1865,6231
1866,3825
1867,8036
1868,8338
1869,8776
1870,19853
1871,11150
1872,13186
1873,4888
1874,11867
1875,7562
1876,14805
1877,13090
1878,24363
1879,14261
1880,9558
1881,22996
1882,13119
1883,3335
1884,3807
1885,3955
1886,5426
1887,12506
1888,3317
1889,3247
1890,2382
1891,3270
1892,6200
1893,24062
1894,12051
1895,11042
1896,6972
1897,6390
1898,15759
1899,6482
1900,9627
1901,13163
1902,5008
1903,7247
1904,12393
1905,20561
1906,5931
1907,11950
1908,3140
1909,36309
1910,6305
1911,17957
1912,15200
1913,9124
1914,7696
1915,11124
1916,3865
1917,9857
1918,9627
1919,14865
1920,5521
1921,5362
1922,4930
1923,3139
1924,17774
1925,14105
1926,9026
1927,3264
1928,5812
1929,1902
1930,23506
1931,27276
1932,3045
1933,7842
1934,24451
1935,13468
1936,28546
1937,10362
1938,6496
1939,2977
1940,22069
1941,17968
1942,4123
1943,10220
1944,4883
1945,5589
1946,3634
1947,8341
1948,8153
1949,12094
1950,8844
1951,36482
1952,7530
1953,18562
1954,8263
1955,8410
1956,13254
1957,29700
1958,20809
1959,17235
1960,4489
