,NWEIGHT
1508,9709.410061
1509,12367.40458
1510,4751.971826
1511,6698.858336
1512,9296.322569
1513,10834.97668
1514,12679.94154
1515,10344.89754
1516,17880.50143
1517,5414.53928
1518,8821.780406
1519,16847.44601
1520,7667.194693
1521,8107.2404989999995
1522,9907.377037
1523,8218.56947
1524,9170.442844
1525,18905.731359999998
1526,10203.26787
1527,10576.37242
1528,7364.805498000001
1529,2834.522614
1530,9892.345855
1531,6413.7762490000005
1532,12679.940340000001
1533,6552.253062
1534,8345.54723
1535,4927.76946
1536,11330.02409
1537,7229.756087000001
1538,8542.976968
1539,8115.948881
1540,3991.101224
1541,10192.47384
1542,10249.22378
1543,11362.76157
1544,4133.5565799999995
1545,2814.87779
1546,9463.068114
1547,6511.355608
1548,3242.224239
1549,6540.321688
1550,8486.676684999999
1551,15914.422230000002
1552,10128.15451
1553,8274.019206
1554,10081.23443
1555,6987.26276
1556,6453.261163
